source,target,endpoints
Topic_1,Topic_4,1--1
Topic_1,Topic_5,1--1
Topic_1,Topic_6,1---1
Topic_1,Topic_7,-1--1
Topic_1,Topic_8,1--1
Topic_1,Topic_9,-1--1
Topic_1,Topic_11,-1--1
Topic_1,Topic_12,1--1
Topic_2,Topic_3,1--1
Topic_2,Topic_4,1--1
Topic_2,Topic_6,1--1
Topic_2,Topic_7,1--1
Topic_2,Topic_8,1--1
Topic_2,Topic_11,-1--1
Topic_2,Topic_12,1--1
Topic_3,Topic_5,1--1
Topic_3,Topic_6,1--1
Topic_3,Topic_7,1--1
Topic_3,Topic_8,2--1
Topic_3,Topic_9,1--1
Topic_3,Topic_10,1--1
Topic_4,Topic_6,1--1
Topic_4,Topic_9,1--1
Topic_4,Topic_10,1--1
Topic_4,Topic_11,1--1
Topic_4,Topic_12,1--1
Topic_5,Topic_7,1--1
Topic_5,Topic_8,1--1
Topic_5,Topic_9,1--1
Topic_5,Topic_10,1--1
Topic_5,Topic_11,1--1
Topic_6,Topic_8,1--1
Topic_6,Topic_10,1--1
Topic_6,Topic_11,-1--1
Topic_6,Topic_13,1--2
Topic_7,Topic_8,1--1
Topic_7,Topic_9,1--1
Topic_7,Topic_12,1--1
Topic_7,Topic_13,1---1
Topic_8,Topic_9,1--1
Topic_8,Topic_10,1--1
Topic_8,Topic_11,-1--1
Topic_8,Topic_12,1--1
Topic_9,Topic_10,1---1
Topic_9,Topic_11,-1--1
Topic_9,Topic_12,1--1
Topic_9,Topic_13,1---1
Topic_10,Topic_11,1--1
Topic_10,Topic_12,1--1
Topic_11,Topic_12,1--1
Topic_11,Topic_13,1---1
Topic_12,Topic_13,1--2
