Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8
0.043882586,0.0411675,0.0013073208,0.04571527,0.01948358,0.0013812097,0.823678,0.0012190447,0.02216547
0.057610363,0.0015496988,0.051436197,0.0015095982,0.019285847,0.0014778117,0.858935,0.006423654,0.0017718354
0.00317094,0.6794539,0.0032332526,0.0031624446,0.048753887,0.025482083,0.0622876,0.0030107552,0.17144515
0.0058481754,0.005591043,0.0063247457,0.26794788,0.005537775,0.6910524,0.0055859033,0.005997146,0.006115018
0.003299533,0.7240395,0.0030119948,0.0029510437,0.0031773336,0.0029389793,0.09266542,0.012654745,0.15526149
0.4016308,0.14480346,0.0038532768,0.07573291,0.1782213,0.0051446077,0.18279855,0.0037334901,0.0040815556
0.016782794,0.13469143,0.059652515,0.015931726,0.25079986,0.008843222,0.51010334,0.0016279537,0.001567062
0.0014844977,0.15232824,0.4603663,0.0013752279,0.09519417,0.0016704006,0.14739257,0.006117075,0.1340715
0.0632036,0.23584428,0.0042080446,0.0048972224,0.0048003513,0.004210274,0.0045684525,0.004204338,0.67406344
0.13346748,0.13856147,0.002345325,0.095062345,0.038196757,0.0019966804,0.58635175,0.0019438795,0.0020743194
0.0039125634,0.0040321513,0.0035541307,0.018063458,0.17544207,0.437967,0.24302134,0.110188566,0.003818731
0.0050133145,0.29901156,0.004823598,0.0048629045,0.16861208,0.004809708,0.005110765,0.004796637,0.50295943
0.00660375,0.0072021154,0.0070480593,0.29242048,0.65931004,0.006778715,0.0071050413,0.0062786844,0.007253078
0.1283694,0.023648556,0.0018039442,0.0018292505,0.65068734,0.0017936053,0.16289036,0.0017543967,0.027223222
0.000963531,0.000913508,0.5821413,0.027495274,0.0009776565,0.030844338,0.25654796,0.0008807848,0.09923572
0.0028413117,0.13934349,0.003241783,0.002769415,0.0051691835,0.69252926,0.12521754,0.002690705,0.026197277
0.019599797,0.004044909,0.2553942,0.032103557,0.0148407025,0.64824563,0.004262324,0.0037286223,0.017780282
0.07600445,0.100554846,0.24097268,0.09849297,0.023896161,0.0058182715,0.42971587,0.009530564,0.015014175
0.12842156,0.06708331,0.66258794,0.0019497736,0.0021081867,0.0020695005,0.07174556,0.0018857658,0.062148537
0.0068839756,0.006454657,0.006407762,0.0064327167,0.0072163725,0.006338283,0.94677085,0.0062901373,0.0072052605
0.26069352,0.054170962,0.018379634,0.0012812272,0.41154417,0.006354085,0.24496488,0.0012631436,0.0013483695
0.60349244,0.0699546,0.0020387848,0.0019847553,0.0020667992,0.0020138626,0.113806635,0.15955536,0.04508676
0.087144956,0.059906512,0.002464699,0.00241182,0.70856357,0.019709572,0.1147339,0.0023954697,0.002669618
0.44491127,0.16173956,0.0022154395,0.0022821387,0.3240874,0.0021307128,0.05838981,0.0021101655,0.0021334728
0.061901268,0.77570564,0.004829092,0.11074464,0.026865106,0.00507023,0.0052740774,0.0045999587,0.0050100386
0.03177235,0.0036536858,0.0033211177,0.0032811274,0.28535566,0.003374625,0.6622673,0.003275028,0.0036990885
0.077050984,0.061827853,0.0022505487,0.0021274132,0.0022331667,0.010859411,0.2914175,0.0020799304,0.55015314
0.018231025,0.050312165,0.21760668,0.0021593457,0.52635634,0.0022587406,0.17849348,0.0021585652,0.0024235763
0.0051756706,0.6463313,0.0049946513,0.1533556,0.029175302,0.0050498205,0.14604054,0.004732221,0.005144902
0.02506514,0.40672922,0.0051604933,0.3517433,0.008614991,0.007781995,0.18430388,0.00541991,0.0051810686
0.006279106,0.41879296,0.029203875,0.15636022,0.007576535,0.19313838,0.1760723,0.005885565,0.006691082
0.20254658,0.0022275916,0.00228225,0.0020040479,0.46037197,0.001880287,0.29122382,0.0018493886,0.03561404
0.0014900739,0.66453165,0.0014724351,0.0014510378,0.0015546144,0.0014682342,0.08230229,0.0014987984,0.24423091
0.034496874,0.0061619007,0.005678649,0.0055283466,0.0057988763,0.74808127,0.1830406,0.0054999036,0.0057135667
0.0015604853,0.20296788,0.0015927955,0.0015267156,0.0016062713,0.0015185984,0.35514003,0.0014814994,0.43260568
0.045194305,0.0015162823,0.020421918,0.0015321681,0.36593303,0.0013618093,0.49469173,0.00802243,0.061326247
0.025980933,0.43386754,0.0020364886,0.002012962,0.013989428,0.0020191818,0.2730165,0.0020061051,0.24507084
0.004229549,0.2618633,0.004163494,0.004381476,0.00422057,0.0044038403,0.004310205,0.004243359,0.70818424
0.10385284,0.0012691016,0.02634951,0.0011931867,0.58049583,0.0013863713,0.17183667,0.009501819,0.1041147
0.003524572,0.0036549722,0.0033298593,0.02403141,0.0032450797,0.06993918,0.5720953,0.0031688097,0.31701094
0.0042330236,0.0041557886,0.004256489,0.18512788,0.21039781,0.39016718,0.004406273,0.0040309867,0.19322455
0.5376263,0.0012564466,0.0011176569,0.0011237847,0.008863373,0.0011901248,0.13644238,0.2588924,0.053487528
0.0027074704,0.37560636,0.03807464,0.0024586315,0.0025785407,0.002513617,0.0027017633,0.0024071033,0.5709519
0.018107943,0.432552,0.0030569865,0.0031095173,0.05237197,0.0032555498,0.067702495,0.0030112779,0.4168322
0.029886147,0.6307603,0.030789409,0.0018738541,0.0019491558,0.010252124,0.20778313,0.0018491549,0.08485674
0.063032486,0.4211726,0.003505666,0.07657358,0.03682958,0.0035062071,0.0039117513,0.016382083,0.37508598
0.0028822566,0.28556934,0.055823475,0.030660521,0.0027163818,0.0028010688,0.3406758,0.27590027,0.0029708934
0.001990905,0.024965966,0.3089397,0.3628517,0.020257588,0.11553085,0.12644394,0.014085613,0.024933828
0.0034999405,0.0038421901,0.0035238632,0.03065161,0.090355806,0.0037872512,0.08706111,0.0033915907,0.7738867
0.008296833,0.10917386,0.007731126,0.0070564044,0.05021266,0.0073497253,0.0073579885,0.007079328,0.79574203
0.0020608762,0.049962606,0.002209005,0.0019597758,0.2563637,0.0019262912,0.6368284,0.0019254307,0.046763994
0.03164168,0.11092025,0.10567642,0.0026276468,0.025028264,0.062494017,0.65650135,0.002446684,0.0026636824
0.007586823,0.16231962,0.0073606656,0.009811875,0.7819313,0.007316274,0.007971086,0.0072330474,0.008469351
0.006360235,0.0059199953,0.006061126,0.4842749,0.014708528,0.36371213,0.107522905,0.005689031,0.005751177
0.004423689,0.0042357678,0.077606484,0.07562466,0.038440913,0.78621787,0.0050091916,0.004238565,0.004202763
0.4602474,0.20847197,0.0016348418,0.0015641652,0.044585727,0.0015682623,0.098574005,0.0015266322,0.18182687
0.035416648,0.10651311,0.0018260649,0.0018387042,0.0019135332,0.0018607428,0.13200213,0.009025593,0.7096034
0.005445624,0.17049532,0.0053041843,0.0052343756,0.047996033,0.0052605704,0.005729847,0.005202258,0.7493318
0.8631181,0.0015923643,0.007288026,0.0015345588,0.0015834541,0.0014881954,0.12038571,0.0014643267,0.0015453099
0.00281632,0.2644895,0.014664169,0.0025973406,0.0056188228,0.002712583,0.18631487,0.0025713395,0.518215
0.002815118,0.5218413,0.012480765,0.0025889452,0.0026833024,0.002601341,0.031863812,0.010893397,0.41223204
0.005337509,0.19268827,0.0054369257,0.005391716,0.14601208,0.5655326,0.0054322868,0.025433464,0.048735157
0.0050155716,0.08844769,0.0045232717,0.00448223,0.036153276,0.8449343,0.004536282,0.0043236725,0.007583644
0.006062872,0.9507107,0.007247329,0.005774751,0.0058539687,0.005657243,0.006580808,0.0055891145,0.006523148
0.001469681,0.02412984,0.0013623537,0.001321804,0.0014038674,0.0013084186,0.9273351,0.0012965,0.04037247
0.8339064,0.0017597666,0.0068433853,0.0015729351,0.052319117,0.0015993089,0.0017030645,0.05063411,0.049661987
0.67478234,0.039604254,0.0015777723,0.059913274,0.0015321136,0.0014894453,0.04607164,0.098401695,0.07662745
0.0017561802,0.1896978,0.059591256,0.022963122,0.02270274,0.0017185422,0.14370848,0.0016104698,0.55625135
0.005185595,0.0050935075,0.005429487,0.0049112365,0.35531974,0.6092567,0.005056983,0.004808278,0.004938487
0.0080551235,0.006108969,0.0058216243,0.19728696,0.006251654,0.52374893,0.07175094,0.1056607,0.07531512
0.0031139185,0.003208989,0.1930908,0.0030208451,0.3687907,0.0033157463,0.33863142,0.0029864972,0.083841
0.11520105,0.015736885,0.0013383043,0.0012754338,0.1487671,0.0011561385,0.66080284,0.054459594,0.0012627182
0.0013930359,0.0015083944,0.02029299,0.0013814699,0.0075973836,0.1331915,0.35758656,0.0014348994,0.47561377
0.4783261,0.12652685,0.0024471965,0.0024692272,0.14930552,0.0023381696,0.18924727,0.0023157771,0.047023855
0.0028457046,0.002843291,0.55720896,0.018725745,0.0028626008,0.15006833,0.20785804,0.0027248438,0.054862548
0.0018996254,0.0018164002,0.25628734,0.31859452,0.040113732,0.025825983,0.30145237,0.0069838823,0.047026176
0.0050517838,0.0050886045,0.004912635,0.00475607,0.6147169,0.0047928323,0.23441157,0.004708786,0.121560805
0.00237978,0.20819965,0.0024906655,0.0022577147,0.06252405,0.00239371,0.1165039,0.0022444897,0.6010059
0.0028482361,0.0028464133,0.18472704,0.058648925,0.05316893,0.2330488,0.073941596,0.23109283,0.15967722
0.003196175,0.003361507,0.14824055,0.4220127,0.0031405652,0.14782356,0.08185396,0.049151387,0.14121969
0.0012653709,0.06976165,0.28276634,0.07540907,0.06342949,0.3127676,0.19199282,0.001324677,0.0012829129
0.3999913,0.073202156,0.0015482388,0.0015554784,0.0016079954,0.0015151954,0.0373379,0.0071025044,0.47613922
0.039430756,0.009637736,0.002244697,0.027019827,0.27204564,0.0021478038,0.6430136,0.0021040959,0.002355854
0.05694378,0.0036977208,0.0035998817,0.0033586056,0.003690656,0.287027,0.10861352,0.52956307,0.0035057117
0.0040523503,0.0035624935,0.09395975,0.047448434,0.004419518,0.5146533,0.18244,0.003493749,0.14597031
0.066982366,0.004112063,0.3462803,0.031405665,0.005721028,0.39649284,0.1411701,0.0038218086,0.0040138448
0.002934113,0.0029346577,0.24188134,0.05758767,0.30093023,0.32929355,0.05877051,0.0027469103,0.0029210644
0.038257882,0.08368076,0.028034285,0.0013081715,0.60823363,0.0012558844,0.16709809,0.0011872719,0.070944056
0.019467408,0.29304248,0.0029215247,0.002473689,0.4830895,0.10729454,0.034363847,0.01569247,0.0416545
0.0050426796,0.0053052986,0.0046274285,0.037951086,0.0046948134,0.3862255,0.19235246,0.35905206,0.004748736
0.0053874375,0.00637211,0.059669614,0.09645216,0.0054253237,0.7643613,0.05165468,0.005263011,0.0054143933
0.002178832,0.0023204093,0.045924112,0.0021557973,0.37202108,0.0021158692,0.46115795,0.0020906075,0.110035345
