min_topic_size,min_sample_size,num_neighbors,coherence,n_valid_topics,n_outlier_docs,stage
42,10,35,0.6770513096512824,15,887,Stage 1
28,10,20,0.6659312217831127,19,628,Stage 1
30,10,20,0.656572377855141,18,656,Stage 1
32,10,20,0.656572377855141,18,656,Stage 1
40,10,35,0.6549846487507501,17,807,Stage 1
38,10,35,0.6549846487507501,17,807,Stage 1
20,10,35,0.6533662001616811,27,1031,Stage 1
40,9,35,0.6517128911005896,17,843,Stage 1
30,9,20,0.6500448297806481,18,578,Stage 1
40,9,20,0.6500448297806481,18,578,Stage 1
40,12,35,0.6475550419753906,16,755,Stage 1
30,12,20,0.6457012434153455,17,642,Stage 1
40,10,20,0.6409442946829514,17,622,Stage 1
40,8,35,0.6393379973778257,18,853,Stage 1
40,8,35,0.6393379973778257,18,853,Stage 1
40,8,30,0.6337827441766031,17,776,Stage 1
30,10,35,0.631974388609359,20,970,Stage 1
40,7,20,0.6264629015502454,20,604,Stage 1
40,9,30,0.6261276313271162,17,743,Stage 1
20,9,35,0.6246627545963609,29,1068,Stage 1
20,8,35,0.624057373313509,28,1035,Stage 1
40,8,20,0.6226773428061853,21,679,Stage 1
20,9,15,0.6200299031755822,30,661,Stage 1
40,7,35,0.6199924181390949,19,927,Stage 1
40,10,15,0.6191763853521373,14,504,Stage 1
20,10,15,0.6187469269988033,30,884,Stage 1
40,9,15,0.6151805097693113,17,678,Stage 1
40,7,30,0.6144383371250122,20,818,Stage 1
30,7,20,0.6142961871355342,21,566,Stage 1
30,9,35,0.6128362135320657,22,1000,Stage 1
40,10,30,0.6124980892948644,19,898,Stage 1
40,10,30,0.6124980892948644,19,898,Stage 1
40,10,40,0.611313577743816,19,827,Stage 1
30,9,15,0.6082529587004402,18,641,Stage 1
30,8,30,0.6071539769565132,26,1038,Stage 1
30,10,15,0.6066678474968799,17,662,Stage 1
30,10,15,0.6066678474968799,17,662,Stage 1
20,9,30,0.606381041049432,28,878,Stage 1
30,9,30,0.6061718886540771,24,944,Stage 1
30,10,30,0.6060345612789866,23,842,Stage 1
20,8,30,0.6051552977871582,30,970,Stage 1
30,8,15,0.601943652656995,18,582,Stage 1
40,8,15,0.601943652656995,18,582,Stage 1
30,7,35,0.6007958768237865,23,917,Stage 1
20,7,35,0.5997374813065746,27,854,Stage 1
30,8,20,0.5995565188430695,23,755,Stage 1
30,8,20,0.5995565188430695,23,755,Stage 1
30,7,30,0.5975519792223591,25,931,Stage 1
30,10,25,0.5969816433019598,22,776,Stage 2
20,10,30,0.5939589902291875,29,899,Stage 2
30,8,35,0.5927211230564903,22,972,Stage 2
20,10,20,0.5871336369010972,28,821,Stage 2
40,7,15,0.5782649581820324,18,604,Stage 2
20,8,20,0.5776352628120919,30,794,Stage 2
20,7,30,0.5752487070393679,32,922,Stage 2
20,8,15,0.572289148190833,34,875,Stage 2
20,9,20,0.5700953358658927,29,855,Stage 2
20,7,20,0.5640733671918661,31,709,Stage 2
20,7,15,0.5586811072675799,33,712,Stage 2
30,7,15,0.5501600990101381,25,749,Stage 2
