_segment_id,accident_id,action,actor,event_polarity,evidence_text,object,outcome,phase
1,1,lost directional control,N733TW,NEGATIVE,sustained no damage when it lost directional control and exited the taxiway while taxiing from landing at the Lincoln Airport (LNK),aircraft,exited the taxiway,taxiing after landing
1,1,exited taxiway,N733TW,NEGATIVE,The airplane exited the taxiway to the left into the mud and snow.,taxiway Juliet,entered mud and snow,taxiing after landing
1,1,removed,mechanic,NEUTRAL,The mechanic reportedly removed both the swivel valves on the left main landing gear. The aft swivel valve was removed and replaced with a new valve.,aft swivel valve on left main landing gear,valve removed for replacement,maintenance
1,1,replaced,mechanic,NEUTRAL,The aft swivel valve was removed and replaced with a new valve.,aft swivel valve on left main landing gear,new valve installed,maintenance
1,1,removed and reinstalled,mechanic,NEUTRAL,The forward one was removed and reinstalled.,forward swivel valve on left main landing gear,valve reinstalled without replacement,maintenance
1,1,checked for leaks,operator,NEUTRAL,That maintenance was checked for leaks and the airplane was returned to service.,airplane,airplane returned to service,maintenance
1,1,extended flaps,captain,NEUTRAL,At about 12 miles from the airport with runway 36 insight and the airspeed at 210 knots started extending the flaps on schedule.,flaps,flaps extended on schedule,approach
1,1,lowered landing gear,flight crew,NEUTRAL,When lowering the gear we performed the Before Landing Checklist and observed all systems normal upon completing the checklist and the flaps at 30 degrees.,landing gear,gear lowered,approach
1,1,performed,flight crew,NEUTRAL,When lowering the gear we performed the Before Landing Checklist and observed all systems normal upon completing the checklist and the flaps at 30 degrees.,Before Landing Checklist,all systems observed normal,approach
1,10,stood up from her flight attendant seat,flight attendant,NEUTRAL,"when she stood up from her flight attendant seat after 10,000 feet and was making her way back to the galley she slipped and fell","after 10,000 feet",proceeded to the galley,climb
1,10,slipped and fell,flight attendant,NEGATIVE,"she slipped and fell. The flight attendant said there was glycol on the floor, and she must have slipped on it",on glycol on the floor,was injured,climb
1,10,assisted,passenger in 2A,POSITIVE,A passenger seated in 2A was able to assist her into seat 1A,flight attendant,helped her into seat 1A,climb
1,10,offered assistance,passenger (family physician),POSITIVE,Another passenger came forward and identified himself as a family physician and offered assistance. He had her apply ice to her ankle and got the interphone for her so she could notify the Captain,flight attendant,provided medical aid,climb
1,10,notified,flight attendant,NEUTRAL,The flight attendant informed the Captain that she could not continue to work the flight,Captain,informed him she could not continue to work the flight,climb
1,10,made the decision,Captain,NEUTRAL,The captain made the decision to turn around and go back to CVG instead of continuing onto GSP,to turn around,returned to CVG instead of continuing to GSP,climb
1,10,made an announcement,Captain,NEUTRAL,The captain made an announcement advising the passengers that she was injured and unable to continue and they would be returning to CVG,to passengers,advised them of the injury and return to CVG,climb
1,10,called dispatch,Captain,NEUTRAL,I proceeded to call dispatch and notified him of the incident and told him that we would return to the airport and he concurred,dispatch,notified of incident and intent to return to CVG,climb
1,10,met the aircraft,Emergency Medical Service,POSITIVE,"After landing, the Emergency Medical Service met the aircraft and carried the her off the airplane",after landing,carried the flight attendant off the airplane,post-landing
1,100,diverted,Mesaba Airlines Flight 3194,NEGATIVE,"a Saab 340B, N452XJ, operated by Mesaba Airlines as Flight 3194, diverted to Cherry Capital Airport (KTVC), Traverse City, Michigan, because of a medical emergency involving the sole flight attendant aboard the flight.",to Cherry Capital Airport (KTVC),due to a medical emergency involving the sole flight attendant,enroute
1,100,experienced,flight attendant,NEGATIVE,"One of the passengers answered the cabin PA phone and reported that the flight attendant was ""no longer coherent"" and was performing ""numerous unusual activities.""",medical emergency,was no longer coherent and performed numerous unusual activities,enroute
1,100,used,captain,NEUTRAL,"As a security precaution, he used the public-address (PA) phone to establish contact with the cabin flight attendant.",public-address (PA) phone,established contact with the cabin,enroute
1,100,answered,passenger,NEUTRAL,"One of the passengers answered the cabin PA phone and reported that the flight attendant was ""no longer coherent"" and was performing ""numerous unusual activities.""",cabin PA phone,reported flight attendant's condition to captain,enroute
1,100,advised,captain,POSITIVE,The captain advised the passenger to assist the flight attendant to a seat and to stow the service-cart that was blocking the aisle.,passenger,to assist flight attendant to a seat and stow service-cart,enroute
1,100,alerted,captain,NEUTRAL,He then alerted air traffic control that they were diverting to KTVC due to a medical emergency.,air traffic control,declared diversion due to medical emergency,enroute
1,100,coordinated,captain,POSITIVE,"Prior to landing, the captain coordinated with a passenger to ensure that all passengers were seated and using their seatbelts.",with a passenger,ensured all passengers were seated and using seatbelts,approach
1,100,made,flight,POSITIVE,The flight made an uneventful landing and was met by paramedics and local law enforcement.,landing,uneventful,landing
