config_name,min_topic_size,min_samples,n_neighbors,mean_similarity,std_similarity,similarity_cv,mean_topic_count,std_topic_count,topic_count_cv,mean_outlier_rate,stability_score,elapsed_time,topic_counts,outlier_rates,pairwise_similarities
GS_Top8_coh0.652,40,9,35,0.39174443093530814,0.02876778506376181,0.07343508367196791,16.8,0.7483314773547883,0.0445435403187374,0.2223826714801444,0.638032619076004,150.78589749336243,"[16, 17, 16, 17, 16, 17, 16, 18, 17, 18]","[0.23024468511833132, 0.21139189731247493, 0.259927797833935, 0.23385479342158041, 0.19655034095467308, 0.1865222623345367, 0.19574809466506218, 0.19414360208584036, 0.28198957079823506, 0.23345367027677497]","[0.4056006289462172, 0.37727652249711074, 0.43814049512578923, 0.36997647712624493, 0.38086540437546623, 0.36747145183677693, 0.34352067566076855, 0.33677280107233665, 0.40484104711078395, 0.3610248843812857, 0.4062362292192924, 0.4459144024796911, 0.43118953326565784, 0.40180273398266475, 0.40038755331962395, 0.3856184387053081, 0.40161066699948506, 0.37398158794250125, 0.368084143238942, 0.39783582430641257, 0.424904317174054, 0.39287025002001785, 0.36497741809274314, 0.340382731733351, 0.40336931426896827, 0.44258567268947896, 0.3879396974461626, 0.3549547085788208, 0.3900389761799341, 0.38334896552889625, 0.4107025263178514, 0.4117709023862275, 0.45276475975005387, 0.4098271761777954, 0.3932552064808257, 0.436182304512299, 0.3904399845485258, 0.34958589438647714, 0.4201666723975957, 0.4019163026515968, 0.39753281848870087, 0.3683131346637538, 0.3521926703041254, 0.38797347685376576, 0.3623520088644838]"
GS_Top9_coh0.650,30,9,20,0.3587166290663176,0.03674209057053238,0.10242650491605645,21.5,1.91049731745428,0.0888603403467107,0.21247492980344962,0.6102052264684557,154.01831197738647,"[18, 19, 20, 22, 24, 22, 23, 22, 21, 24]","[0.26233453670276774, 0.2242278379462495, 0.20938628158844766, 0.1801042920176494, 0.20136381869233855, 0.23064580826313677, 0.22623345367027678, 0.19053349378259127, 0.2402727637384677, 0.1596470116325712]","[0.38696778892857325, 0.34257898963781314, 0.36933527619802126, 0.43655618165422094, 0.4309579309579309, 0.4218223440359663, 0.4034434825198499, 0.3415564770053934, 0.3831391919627214, 0.36001895737923106, 0.3663443313516639, 0.369349410208136, 0.41173321636088456, 0.4122328253825728, 0.41042572295627533, 0.36686391297764925, 0.3675621537769166, 0.2955337747907407, 0.32222895353700304, 0.4022781741821989, 0.321881506866027, 0.332375239999079, 0.3386333223020529, 0.3393057492902694, 0.3143084985190248, 0.3653889930627898, 0.4040646081878842, 0.3364799740397826, 0.3033465697763474, 0.3851112298902898, 0.3275081722256645, 0.35977127018148686, 0.3463233031731483, 0.3241440433777895, 0.26162171663332656, 0.34974177712708526, 0.33711008243093804, 0.33446659354342995, 0.36681592870025176, 0.35463176165154897, 0.35174464189136423, 0.36052977996712005, 0.3456271111069873, 0.3560011735145425, 0.3243861647222992]"
GS_Top6_coh0.655,38,10,35,0.38900533154875017,0.044151444387470325,0.11349830145435234,15.8,2.181742422927143,0.13808496347640145,0.22523064580826313,0.6080310475698021,290.8031737804413,"[16, 17, 16, 13, 15, 18, 12, 14, 18, 19]","[0.197352587244284, 0.2527075812274368, 0.21580425190533495, 0.2097874047332531, 0.2711592458884878, 0.192940232651424, 0.17529081427998394, 0.27837946249498596, 0.2394705174488568, 0.21941436020858404]","[0.4030089599942541, 0.36229433728466237, 0.30347063067651303, 0.35870540171043264, 0.4123235832794656, 0.31853805271955427, 0.3758497157297467, 0.38821459757992266, 0.3135519236525428, 0.3953522903167776, 0.38040371777396, 0.3910296941165635, 0.377417181050399, 0.29614085200499335, 0.403950381959852, 0.37570205649790417, 0.3877791758414596, 0.3743620554282319, 0.4155461304261614, 0.39875902283990516, 0.31062717919335564, 0.42162626997185815, 0.3972756206212088, 0.45067463174080824, 0.3839519216990043, 0.4195133674771684, 0.3391570391451315, 0.3840210158976532, 0.4418258965770278, 0.4482502163497639, 0.47981277981277987, 0.37294426706191414, 0.37390071801836505, 0.47131865955395363, 0.4537941361470773, 0.3439414377236874, 0.3130856931166528, 0.40237277247081166, 0.3986602540524109, 0.35029767847105314, 0.4313563615034202, 0.4074612751083339, 0.4142079908886632, 0.44609277277344506, 0.4166702034349093]"
GS_Top4_coh0.657,32,10,20,0.35185429066118606,0.034506882005867504,0.09807151119579638,19.2,2.0396078054371136,0.10622957319984967,0.19141596470116326,0.6057750804304054,156.66889333724976,"[18, 22, 21, 21, 20, 16, 18, 16, 19, 21]","[0.15122342559165664, 0.1676694745286803, 0.18531889290012032, 0.19895707982350583, 0.2503008423586041, 0.16927396710790213, 0.1596470116325712, 0.13437625350982751, 0.19775371038908945, 0.2996389891696751]","[0.31130162502711517, 0.33451658516158, 0.3774694565458239, 0.31679030272941516, 0.3617261221750385, 0.30567242641546044, 0.34729336328923527, 0.3413908837025452, 0.33257603058944646, 0.325981762866086, 0.35566804040628974, 0.3448515044701366, 0.2955090965575064, 0.28491752485560534, 0.34425693688992304, 0.29987399316135593, 0.3498779498638772, 0.3838138003330397, 0.35510715552732364, 0.35126845896416886, 0.3296318527410964, 0.3676704354501789, 0.34691170460741444, 0.3744780126911927, 0.375857082292288, 0.36105183904830074, 0.355151752763429, 0.3712251391375673, 0.32356331891935614, 0.3793743972868254, 0.3737399855046914, 0.3698207623130224, 0.3452207708012661, 0.34829449446322513, 0.3518146026659958, 0.4321841353091353, 0.40857516021989704, 0.4183760479716362, 0.4336512891563201, 0.32471266359295253, 0.29707454281757684, 0.3233255679076112, 0.33441461252026267, 0.4185049234391339, 0.34895496660202535]"
GS_Top7_coh0.653,20,10,35,0.31291373124151767,0.03241911371355997,0.10360399840855106,28.4,3.5832945734337835,0.1261723441349924,0.24945848375451268,0.5687134656293585,230.8742756843567,"[30, 26, 26, 33, 36, 30, 26, 27, 26, 24]","[0.22823906939430405, 0.22944243882872042, 0.24147613317288408, 0.22623345367027678, 0.2675491375852387, 0.24227837946249497, 0.2992378660248696, 0.28840754111512235, 0.21219414360208583, 0.25952667468912954]","[0.3235011834857035, 0.3378356793991468, 0.2998973506713444, 0.340086830953704, 0.356044265332191, 0.3127628477473678, 0.31624161299083897, 0.30365361332853597, 0.2952843538756851, 0.3293442486702786, 0.31088754594351165, 0.3203902353104544, 0.3104289633522785, 0.27769606422261817, 0.3105065629773894, 0.31345878526754917, 0.29501671094907583, 0.34808088698896034, 0.3794338351971121, 0.39697861676308926, 0.3260685525212793, 0.3115333602652012, 0.3734324373464645, 0.35610095892305943, 0.2813284067154036, 0.277100064251767, 0.2678916058454477, 0.25822886862853084, 0.2809196984541763, 0.30133346914939935, 0.2802046451427256, 0.25273476905313846, 0.27304539810989753, 0.32958004900729354, 0.28874474959356283, 0.2824095953352919, 0.27981496774066433, 0.33261042935965535, 0.3337479084383109, 0.3320327994357525, 0.29212363012077225, 0.3331197129720588, 0.29502929958726315, 0.2980647217833321, 0.3663876146610131]"
GS_Top3_coh0.657,30,10,20,0.376144227908647,0.0557780615740203,0.14828902701536856,20.2,5.325410782277739,0.26363419714246233,0.21038908945046128,0.5669040369214925,166.9733407497406,"[21, 5, 19, 22, 24, 22, 22, 22, 20, 25]","[0.22703569995988768, 0.0048134777376654635, 0.2278379462494986, 0.18852787805856397, 0.1821099077416767, 0.2438828720417168, 0.22583233052547133, 0.25711993582029685, 0.2699558764540714, 0.2767749699157641]","[0.1809575382109659, 0.3311779257157408, 0.3334916512713947, 0.3701037320011225, 0.38330349520088575, 0.291193085421303, 0.36787350608668606, 0.39745600935339986, 0.3538612026006983, 0.43423593949909745, 0.38488529014844797, 0.4714285714285714, 0.37157287157287155, 0.4370257193786606, 0.5403762903762903, 0.44935064935064933, 0.41518832045147835, 0.43546679272603983, 0.4212799358228722, 0.4067422719044032, 0.34499001803873885, 0.3759806358796093, 0.39425329888911437, 0.4350614126155921, 0.3661499280342511, 0.37879809857715846, 0.31625602639534534, 0.3917583065838061, 0.3558791530575938, 0.30924400911031924, 0.3919300477930509, 0.3245391734168824, 0.3607315528755157, 0.38336646153983606, 0.3806734666835286, 0.31169797304050045, 0.37335488338162137, 0.38295733803051557, 0.386071183249624, 0.2883279626524771, 0.35130965369496187, 0.3401054140218227, 0.4124531494711624, 0.4071310253058071, 0.3864992850286968]"
GS_Top2_coh0.666,28,10,20,0.33278099272720735,0.10269154943954174,0.30858598202368404,21.6,6.151422599691879,0.28478808331906846,0.2002807862013638,0.5408979141276103,156.22356176376343,"[24, 26, 23, 26, 25, 4, 21, 23, 20, 24]","[0.23906939430405133, 0.26153229041315684, 0.1821099077416767, 0.2009626955475331, 0.20296831127156037, 0.01363818692338548, 0.2458884877657441, 0.22663457681508223, 0.22543120738066585, 0.2045728038507822]","[0.36937419019462353, 0.3668879459320636, 0.405915195485629, 0.35713261912952315, 0.12416674384553643, 0.35177364918076987, 0.3863849070892414, 0.3251166546445184, 0.3450728694536744, 0.3173167793017757, 0.36757306756115987, 0.3232348808081125, 0.13822150369542605, 0.39456436434883685, 0.33234484681257725, 0.3383073358067404, 0.37938145776321525, 0.36528090297103616, 0.3303987109344492, 0.10603501507391667, 0.2955226411613543, 0.29284846709802953, 0.2959689276488307, 0.36858846422717734, 0.3122090327972681, 0.14870415102613244, 0.32321852421876235, 0.3258419228888388, 0.27470960874747485, 0.3395696811986404, 0.10173797994231432, 0.3153964473778715, 0.3408737323907603, 0.3105054079047887, 0.31350760007106754, 0.5296370296370296, 0.6837121212121212, 0.3245663650075415, 0.5625, 0.35856935912221183, 0.38112039483114224, 0.3796947683502305, 0.28500578779889585, 0.3246148192305144, 0.36203779880250464]"
GS_Top5_coh0.655,40,10,35,0.33316921748061173,0.07450951299906565,0.2236386469389286,14.4,4.673328578219169,0.3245367068207756,0.20561572402727638,0.5281004518886179,160.13237881660461,"[2, 15, 18, 17, 15, 17, 16, 18, 16, 10]","[0.0, 0.24267950260730045, 0.28399518652226236, 0.2743682310469314, 0.143602085840353, 0.19695146409947853, 0.29482551143200963, 0.22944243882872042, 0.26073004412354595, 0.12956277577216205]","[0.38095238095238093, 0.21323529411764708, 0.18055555555555555, 0.1513157894736842, 0.18055555555555555, 0.2549019607843137, 0.18055555555555555, 0.17647058823529413, 0.3942307692307692, 0.39411884411884407, 0.36712416124180824, 0.3841136217297208, 0.42182063435933403, 0.3408847659621653, 0.38924963924963923, 0.3343633719794709, 0.34952756794862055, 0.38049998963311654, 0.3080959956604951, 0.3344856849758811, 0.3140688049098782, 0.413271684169517, 0.3615693254496144, 0.29840393333685383, 0.3196989932101934, 0.35343056951142904, 0.38302842263869397, 0.40088270761190087, 0.35854274522094587, 0.25135600149258863, 0.36782620544230443, 0.36760056249220335, 0.38546371642346877, 0.4502224870645923, 0.31813844909820144, 0.3913736913645855, 0.33740968151822276, 0.33180744062186424, 0.28186379880060447, 0.4329998024850966, 0.4072725681181564, 0.3597335541994985, 0.4073881580331529, 0.29573700961729854, 0.2864667474768094]"
GS_Top1_coh0.677,42,10,35,0.3452897517272484,0.0983770277094333,0.28491151914390833,13.2,4.749736834815167,0.3598285480920581,0.19502607300441238,0.5256910968351243,193.56717205047607,"[15, 18, 13, 15, 7, 16, 2, 18, 14, 14]","[0.16004813477737664, 0.21018852787805856, 0.34376253509827515, 0.26795026073004413, 0.06538307260328921, 0.22743682310469315, 0.0, 0.25350982751704776, 0.23987164059366226, 0.1821099077416767]","[0.39154418566183274, 0.34305008716773416, 0.4028494095057563, 0.26184329945939855, 0.35412406078040753, 0.12419693023408193, 0.4029248529248528, 0.3466951349304291, 0.39495003906768605, 0.3732789302964741, 0.3851306406775963, 0.1939507860560492, 0.44233879773095464, 0.10952012383900929, 0.3212222599477501, 0.3664866122296463, 0.3324681615445289, 0.44361596171550927, 0.2548027308089228, 0.42465201967464417, 0.15739197163345772, 0.3877176116995122, 0.43247112364759427, 0.4240978980797985, 0.23869313807394302, 0.4169186735750203, 0.11570479743854357, 0.42000885824415235, 0.3655217045309925, 0.3612563620303559, 0.38585737325233127, 0.24796585300786983, 0.5123895712131006, 0.3469832541039971, 0.43424036281179135, 0.12766060371517027, 0.3673824133382957, 0.4470682987033606, 0.379441481076543, 0.3392857142857143, 0.3942307692307692, 0.4583333333333333, 0.37344531591177615, 0.32807440715077457, 0.40625291338471353]"
GS_Top10_coh0.650,40,9,20,0.3245090604198404,0.11776082708433656,0.3628891807580997,14.0,5.531726674375733,0.3951233338839809,0.15732049739269954,0.512253430566186,149.25596499443054,"[14, 15, 19, 4, 15, 20, 16, 17, 3, 17]","[0.1837144003208985, 0.17970316887284396, 0.1893301243481749, 0.010830324909747292, 0.13959085439229843, 0.2723626153229041, 0.1829121540312876, 0.156839149618933, 0.008824709185720016, 0.2490974729241877]","[0.4300968639203933, 0.36216729975022766, 0.15786051262610304, 0.4821587143015714, 0.40938939678435476, 0.38875337277592914, 0.4063343286032362, 0.18634349826300292, 0.3696294920863695, 0.3920509487072954, 0.14147592460285957, 0.39823934235698927, 0.44573313396842806, 0.46175175586940287, 0.4744298185474657, 0.12107802185201567, 0.39819466738971376, 0.1368440550451305, 0.30020596335571076, 0.38630942500911536, 0.37843855038738533, 0.36072286846280655, 0.10016204080893669, 0.3800514478370108, 0.2340686274509804, 0.5170454545454546, 0.3601190476190476, 0.24153828197945842, 0.398989898989899, 0.4847488038277512, 0.3949402449402448, 0.3294444919831916, 0.39214167898378416, 0.11615067079463362, 0.3533396027204076, 0.3369548708944994, 0.28587768440709616, 0.13015750159713008, 0.4045989957754664, 0.40084792658322066, 0.13976193547594476, 0.3273644999651192, 0.13960334471170385, 0.3523482678918847, 0.19444444444444442]"
