topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,1
1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,1
1,1,0,0,1,1,0,0,1
1,1,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1
1,1,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1
1,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
