min_topic_size,min_sample_size,num_neighbors,coherence,n_valid_topics,n_outlier_docs,stage
15,4,20,0.7403885054425047,8,134,Stage 1
16,4,20,0.7403885054425047,8,134,Stage 1
15,7,15,0.720163930171245,8,245,Stage 1
16,7,15,0.720163930171245,8,245,Stage 1
14,7,15,0.7187056496313902,10,266,Stage 1
15,4,15,0.7106897596254129,14,236,Stage 1
15,5,15,0.7105981313114553,10,245,Stage 1
14,4,20,0.7091280981692738,13,292,Stage 1
15,6,20,0.7063044769585934,11,258,Stage 1
15,5,25,0.704462598684625,13,295,Stage 1
15,7,16,0.6987336730805613,8,301,Stage 1
15,4,25,0.6981903040501062,13,239,Stage 1
15,5,20,0.6956976946932111,15,320,Stage 1
15,5,20,0.6956976946932111,15,320,Stage 1
15,6,25,0.6936982216857654,14,267,Stage 1
15,6,15,0.6901568644975017,10,254,Stage 1
15,6,15,0.6901568644975017,10,254,Stage 1
15,7,25,0.6901047835814933,10,204,Stage 1
10,6,25,0.6883686057270018,16,257,Stage 1
15,4,10,0.6878788927311381,19,221,Stage 1
10,4,10,0.6874188342658482,24,246,Stage 1
10,7,25,0.686195661576506,15,286,Stage 1
10,5,25,0.6835878258647147,21,336,Stage 1
15,8,15,0.6828042641400249,9,272,Stage 1
10,4,25,0.6826822069273145,23,240,Stage 1
10,6,20,0.6798943686562121,14,227,Stage 1
10,5,10,0.6790519362672641,22,264,Stage 1
15,5,10,0.6737966059015444,3,0,Stage 1
15,7,10,0.6737966059015444,3,1,Stage 1
10,7,20,0.673170740356235,11,194,Stage 1
15,7,20,0.6715709305886544,9,219,Stage 1
10,7,15,0.6700765588508023,14,236,Stage 1
10,4,20,0.669106761285635,17,280,Stage 1
10,6,10,0.6675494750033388,21,240,Stage 1
10,5,20,0.6622144066540818,18,285,Stage 1
15,7,14,0.6615096817562495,13,350,Stage 1
15,4,21,0.6598552506348491,11,223,Stage 1
15,3,20,0.6572466499881843,10,184,Stage 1
10,4,15,0.6564976764360545,23,225,Stage 1
10,6,15,0.6531903351519167,16,258,Stage 1
15,4,19,0.6513563708790674,11,203,Stage 2
10,7,10,0.6474928370875721,21,265,Stage 2
5,4,15,0.6366651889193881,42,225,Stage 2
5,5,25,0.6323665190404424,37,316,Stage 2
10,5,15,0.6321830135649122,23,304,Stage 2
5,4,10,0.6163465979596978,48,192,Stage 2
5,5,10,0.6160762711242367,44,254,Stage 2
5,4,25,0.6130780938470322,42,276,Stage 2
5,5,20,0.6075819689026672,37,306,Stage 2
5,4,20,0.6030797334375996,45,292,Stage 2
5,5,15,0.5941312583359459,38,295,Stage 2
15,6,10,0.578920711710933,2,0,Stage 2
